pair_id,conflict_type,image_severity_signal,text_severity_signal,conflict_direction,source
real:906744961072291840_3,none,none,none,,real
real:906851261881962497_0,none,none,none,,real
real:906919319849893889_0,none,severe,severe,,real
real:906927950938873856_0,none,none,none,,real
real:906928042865504261_0,none,none,none,,real
real:906964197053014016_0,none,none,none,,real
real:906983382290194433_0,none,none,none,,real
real:907006307433148417_0,none,severe,severe,,real
real:907200075687964672_1,none,none,none,,real
real:907307308211982336_0,none,none,none,,real
real:907909804869419008_1,none,severe,severe,,real
real:908111834418466816_0,none,none,none,,real
real:908390896084897793_0,none,severe,severe,,real
real:909220520461180928_0,none,none,none,,real
real:909384460285526016_0,none,severe,severe,,real
real:909432584333078528_0,none,none,none,,real
real:909436630267760641_2,none,none,none,,real
real:909448877790695424_0,none,none,none,,real
real:909455019132555265_0,none,none,none,,real
real:909470884532047874_0,none,none,none,,real
real:909480824826888192_0,none,severe,severe,,real
real:909486151760777216_0,none,none,none,,real
real:909701027879882752_0,none,none,none,,real
real:909704222156959745_0,none,none,none,,real
real:909715026872762368_1,none,none,none,,real
real:909722974218895360_1,none,severe,severe,,real
real:909768090392645633_0,none,severe,severe,,real
real:909779022644727808_1,none,none,none,,real
real:909780742787432452_0,none,none,none,,real
real:909782273280630784_0,none,none,none,,real
real:909796226169819140_0,none,none,none,,real
real:909796226169819140_1,none,none,none,,real
real:909797659795427334_0,none,none,none,,real
real:909835088044580864_1,none,none,none,,real
real:909841237493956608_0,none,none,none,,real
real:909863311528820738_0,none,none,none,,real
real:909883607350513664_0,none,severe,severe,,real
real:909912459640700930_2,none,none,none,,real
real:909927931316703233_0,none,none,none,,real
real:909938076423675905_0,none,none,none,,real
real:909938076423675905_2,none,none,none,,real
real:909943803943030785_0,none,none,none,,real
real:910122015993995264_3,none,none,none,,real
real:910169542718091265_1,none,none,none,,real
real:910175660106231808_0,none,none,none,,real
real:910194740905353216_0,none,none,none,,real
real:910244526392008704_0,none,none,none,,real
real:910549146360311808_0,none,none,none,,real
real:910566731273433091_0,none,none,none,,real
real:910635961134014464_0,none,severe,severe,,real
real:910783579751419904_0,none,severe,severe,,real
real:911540012243591168_0,none,severe,severe,,real
real:911623875565375488_0,none,severe,severe,,real
real:912048104651788289_2,none,none,none,,real
real:912165621198188544_0,none,none,none,,real
real:912286223930134530_0,none,severe,severe,,real
real:912301115257053184_2,none,none,none,,real
real:912306806021591041_0,none,severe,severe,,real
real:912309406347534336_0,none,severe,severe,,real
real:912376057365504001_0,none,severe,severe,,real
real:912989234922889216_0,none,severe,severe,,real
real:913392166533201920_0,none,none,none,,real
real:915992255583854592_0,none,severe,severe,,real
real:917797763282214913_0,none,severe,severe,,real
real:917869210499399680_0,none,severe,severe,,real
real:917915816615731201_0,none,severe,severe,,real
real:919573866003001344_0,none,severe,severe,,real
real:919895719691112448_0,none,severe,severe,,real
real:920022506211127296_0,none,severe,severe,,real
real:921095476455321600_2,none,severe,severe,,real
real:921560430803382272_0,none,none,none,,real
real:927214178049445889_0,none,severe,severe,,real
real:929992723146399745_0,none,severe,severe,,real
real:930005173799354368_0,none,severe,severe,,real
real:930361931629780993_0,none,severe,severe,,real
real:930401945516462080_0,none,none,none,,real
real:930883171503177728_0,none,severe,severe,,real
real:931258352272838656_0,none,severe,severe,,real
real:931535497679294464_0,none,severe,severe,,real
real:869957051547435008_0,resource_mismatch,severe,none,image>text,real
real:869967714948849664_0,resource_mismatch,severe,none,image>text,real
real:870199337996787712_0,resource_mismatch,severe,none,image>text,real
real:870479677789360129_0,resource_mismatch,mild,none,image>text,real
real:870574893280092160_0,resource_mismatch,mild,none,image>text,real
real:870661861040988160_0,resource_mismatch,mild,none,image>text,real
real:901646074527535105_2,resource_mismatch,severe,none,image>text,real
real:901683922676969472_0,resource_mismatch,severe,none,image>text,real
real:901743093493489664_0,resource_mismatch,severe,none,image>text,real
real:901813825711853568_0,resource_mismatch,severe,none,image>text,real
real:904207248276193280_0,resource_mismatch,severe,moderate,image>text,real
real:904253626457174016_3,resource_mismatch,severe,none,image>text,real
real:904330662005669888_0,resource_mismatch,severe,none,image>text,real
real:904410044304908288_0,resource_mismatch,mild,moderate,text>image,real
real:904454011050393600_0,resource_mismatch,severe,none,image>text,real
real:904552138897932288_0,resource_mismatch,mild,none,image>text,real
real:904597048158064640_0,resource_mismatch,severe,none,image>text,real
real:904626733269356544_0,resource_mismatch,severe,none,image>text,real
real:904806868794605569_0,resource_mismatch,severe,none,image>text,real
real:904814892095598592_0,resource_mismatch,mild,none,image>text,real
real:904878370088816641_0,resource_mismatch,severe,moderate,image>text,real
real:904947742224650241_0,resource_mismatch,severe,none,image>text,real
real:905056740634394625_0,resource_mismatch,mild,none,image>text,real
real:905148792516866049_1,resource_mismatch,severe,none,image>text,real
real:905148792516866049_2,resource_mismatch,severe,none,image>text,real
real:905164194970050561_0,resource_mismatch,mild,none,image>text,real
real:905367007092105216_0,resource_mismatch,severe,none,image>text,real
real:905463049061990400_0,resource_mismatch,severe,none,image>text,real
real:905467541534978050_0,resource_mismatch,severe,none,image>text,real
real:905636943630884865_0,resource_mismatch,severe,none,image>text,real
real:905658541158961152_0,resource_mismatch,severe,none,image>text,real
real:905721072250736640_0,resource_mismatch,severe,mild,image>text,real
real:905724350040383490_0,resource_mismatch,severe,none,image>text,real
real:905762184105472000_0,resource_mismatch,severe,moderate,image>text,real
real:905777977249681409_2,resource_mismatch,severe,none,image>text,real
real:905797452095143936_0,resource_mismatch,severe,none,image>text,real
real:905889752968306689_0,resource_mismatch,mild,none,image>text,real
real:906199066966667264_0,resource_mismatch,severe,none,image>text,real
real:906478412281401344_0,resource_mismatch,severe,none,image>text,real
real:906534531339091969_0,resource_mismatch,severe,none,image>text,real
real:907029678304714753_0,resource_mismatch,severe,none,image>text,real
real:907256807508373509_0,resource_mismatch,severe,none,image>text,real
real:907274021275885569_0,resource_mismatch,severe,none,image>text,real
real:907301003984343040_0,resource_mismatch,severe,none,image>text,real
real:907413959711567873_0,resource_mismatch,severe,none,image>text,real
real:907634475152007169_0,resource_mismatch,severe,none,image>text,real
real:907680641944342528_0,resource_mismatch,severe,none,image>text,real
real:907735778914058241_0,resource_mismatch,mild,none,image>text,real
real:907756518535294976_1,resource_mismatch,severe,none,image>text,real
real:907877049779539968_0,resource_mismatch,severe,none,image>text,real
real:908071346013323264_0,resource_mismatch,severe,none,image>text,real
real:908424093099347968_0,resource_mismatch,mild,none,image>text,real
real:908705573570478080_0,resource_mismatch,mild,none,image>text,real
real:908767564997595139_0,resource_mismatch,severe,none,image>text,real
real:908825244269404160_0,resource_mismatch,severe,none,image>text,real
real:909433639540281344_0,resource_mismatch,severe,moderate,image>text,real
real:909438423068495872_1,resource_mismatch,severe,none,image>text,real
real:909477113199316997_0,resource_mismatch,severe,none,image>text,real
real:909703315910402049_0,resource_mismatch,mild,moderate,text>image,real
real:909728942160048128_0,resource_mismatch,severe,none,image>text,real
real:909738182031413248_0,resource_mismatch,mild,none,image>text,real
real:909739206293049344_0,resource_mismatch,mild,none,image>text,real
real:909824644420694018_0,resource_mismatch,severe,none,image>text,real
real:909839499995353088_0,resource_mismatch,severe,none,image>text,real
real:909844516886245376_0,resource_mismatch,severe,none,image>text,real
real:909875590815154177_0,resource_mismatch,mild,none,image>text,real
real:909897343125921792_0,resource_mismatch,severe,none,image>text,real
real:909919169319260160_0,resource_mismatch,mild,moderate,text>image,real
real:909994032436191232_0,resource_mismatch,mild,none,image>text,real
real:909996543385665537_0,resource_mismatch,mild,moderate,text>image,real
real:910082914343305216_0,resource_mismatch,severe,moderate,image>text,real
real:910118787080441857_0,resource_mismatch,mild,none,image>text,real
real:910142737504247813_0,resource_mismatch,severe,none,image>text,real
real:910172045333471232_0,resource_mismatch,severe,none,image>text,real
real:910189290642173953_0,resource_mismatch,mild,none,image>text,real
real:910190227905531905_0,resource_mismatch,severe,moderate,image>text,real
real:910201108995366912_0,resource_mismatch,severe,none,image>text,real
real:910524364327718919_0,resource_mismatch,severe,none,image>text,real
real:910525151719997440_0,resource_mismatch,severe,none,image>text,real
real:910532027107172353_1,resource_mismatch,severe,none,image>text,real
real:910532465415954433_0,resource_mismatch,severe,none,image>text,real
real:910545522133528576_1,resource_mismatch,severe,none,image>text,real
real:910571114803363840_1,resource_mismatch,mild,moderate,text>image,real
real:910586697754308609_0,resource_mismatch,mild,severe,text>image,real
real:910679991599460352_0,resource_mismatch,mild,severe,text>image,real
real:910708899098980352_0,resource_mismatch,severe,none,image>text,real
real:910709499660398592_0,resource_mismatch,severe,none,image>text,real
real:910723465933504512_0,resource_mismatch,severe,none,image>text,real
real:910779239615598592_0,resource_mismatch,severe,none,image>text,real
real:911546967473442816_0,resource_mismatch,mild,none,image>text,real
real:911575707024859136_0,resource_mismatch,severe,none,image>text,real
real:911602843882098688_0,resource_mismatch,severe,none,image>text,real
real:911750614631243776_1,resource_mismatch,severe,moderate,image>text,real
real:911808511948058629_0,resource_mismatch,severe,none,image>text,real
real:911827596748447744_0,resource_mismatch,mild,none,image>text,real
real:911855222921859072_0,resource_mismatch,severe,none,image>text,real
real:911881820559544320_0,resource_mismatch,mild,none,image>text,real
real:912133618675437569_0,resource_mismatch,mild,none,image>text,real
real:912295059315404800_0,resource_mismatch,mild,none,image>text,real
real:912325883683377157_0,resource_mismatch,mild,none,image>text,real
real:912393267387478016_0,resource_mismatch,mild,severe,text>image,real
real:912443382525460480_0,resource_mismatch,mild,none,image>text,real
real:912966692241907712_0,resource_mismatch,severe,none,image>text,real
real:913070687501344768_0,resource_mismatch,severe,none,image>text,real
real:913131967167778816_0,resource_mismatch,severe,none,image>text,real
real:913519193009487872_0,resource_mismatch,severe,moderate,image>text,real
real:913560802459873280_0,resource_mismatch,severe,none,image>text,real
real:913735106371735553_0,resource_mismatch,mild,none,image>text,real
real:913833825033232384_0,resource_mismatch,severe,none,image>text,real
real:914039412643655680_0,resource_mismatch,severe,none,image>text,real
real:914175062214873089_0,resource_mismatch,severe,none,image>text,real
real:914353354503069696_1,resource_mismatch,none,moderate,text>image,real
real:916292237700497408_3,resource_mismatch,mild,none,image>text,real
real:917839142880468994_1,resource_mismatch,severe,none,image>text,real
real:917839142880468994_3,resource_mismatch,severe,none,image>text,real
real:917842240646664192_0,resource_mismatch,severe,none,image>text,real
real:917920946450771971_0,resource_mismatch,severe,none,image>text,real
real:917926207492120576_0,resource_mismatch,severe,none,image>text,real
real:917973143708463104_0,resource_mismatch,severe,none,image>text,real
real:918008272363368448_0,resource_mismatch,severe,none,image>text,real
real:918021142815952897_0,resource_mismatch,severe,none,image>text,real
real:918075669048938496_0,resource_mismatch,severe,none,image>text,real
real:918095867218817026_0,resource_mismatch,severe,none,image>text,real
real:918104972268535810_0,resource_mismatch,severe,moderate,image>text,real
real:918115021661421568_0,resource_mismatch,severe,none,image>text,real
real:919566772528865281_0,resource_mismatch,severe,none,image>text,real
real:919648994661486593_0,resource_mismatch,severe,none,image>text,real
real:919941910642311168_0,resource_mismatch,severe,none,image>text,real
real:920034434845360133_0,resource_mismatch,none,moderate,text>image,real
real:920045440594268160_0,resource_mismatch,severe,none,image>text,real
real:920084522317774849_0,resource_mismatch,severe,none,image>text,real
real:920382328618278912_0,resource_mismatch,severe,none,image>text,real
real:920421696527413248_0,resource_mismatch,mild,none,image>text,real
real:920495926191386624_0,resource_mismatch,severe,none,image>text,real
real:920550861343948800_0,resource_mismatch,mild,none,image>text,real
real:920705565575151616_0,resource_mismatch,severe,none,image>text,real
real:921364937661976576_0,resource_mismatch,severe,none,image>text,real
real:921717990420123648_0,resource_mismatch,severe,none,image>text,real
real:921723467631939585_0,resource_mismatch,mild,severe,text>image,real
real:922977759583985664_0,resource_mismatch,mild,none,image>text,real
real:923255652025294848_0,resource_mismatch,mild,none,image>text,real
real:927929692249878529_0,resource_mismatch,mild,none,image>text,real
real:930015299017105408_1,resource_mismatch,severe,none,image>text,real
real:930109831595417600_0,resource_mismatch,severe,none,image>text,real
real:930136678488043522_0,resource_mismatch,severe,none,image>text,real
real:930163638819786754_0,resource_mismatch,severe,none,image>text,real
real:930209629589721088_0,resource_mismatch,severe,none,image>text,real
real:930337898217594880_0,resource_mismatch,severe,moderate,image>text,real
real:930566146281091075_0,resource_mismatch,severe,none,image>text,real
real:931505905736306690_0,resource_mismatch,severe,none,image>text,real
real:870015709555834880_0,severity_mismatch,mild,none,image>text,real
real:870278054697881600_0,severity_mismatch,mild,none,image>text,real
real:870942570704019456_2,severity_mismatch,mild,moderate,text>image,real
real:872044691885305858_0,severity_mismatch,severe,moderate,image>text,real
real:901655097293377536_2,severity_mismatch,mild,moderate,text>image,real
real:901655097293377536_3,severity_mismatch,severe,moderate,image>text,real
real:901663058388504576_0,severity_mismatch,mild,moderate,text>image,real
real:901671631549906946_0,severity_mismatch,severe,none,image>text,real
real:901721172961890304_0,severity_mismatch,severe,none,image>text,real
real:901722704767627269_0,severity_mismatch,mild,moderate,text>image,real
real:901762681975304193_0,severity_mismatch,severe,none,image>text,real
real:901796845776769024_0,severity_mismatch,severe,moderate,image>text,real
real:901800726795616256_0,severity_mismatch,severe,moderate,image>text,real
real:901813738365493248_0,severity_mismatch,severe,none,image>text,real
real:901826643311951874_0,severity_mismatch,severe,none,image>text,real
real:904212047499595776_0,severity_mismatch,severe,moderate,image>text,real
real:904288462441897984_0,severity_mismatch,severe,none,image>text,real
real:904468677906636800_0,severity_mismatch,severe,none,image>text,real
real:904472503850082305_0,severity_mismatch,severe,none,image>text,real
real:904484344156311552_0,severity_mismatch,severe,moderate,image>text,real
real:904517353588744192_0,severity_mismatch,mild,none,image>text,real
real:904572612520660992_0,severity_mismatch,mild,moderate,text>image,real
real:904713943653818368_0,severity_mismatch,mild,none,image>text,real
real:904807213927206912_1,severity_mismatch,mild,none,image>text,real
real:904914448099495936_0,severity_mismatch,mild,moderate,text>image,real
real:904947206607818753_0,severity_mismatch,none,moderate,text>image,real
real:904955849487126528_0,severity_mismatch,mild,none,image>text,real
real:905148566099951619_0,severity_mismatch,severe,moderate,image>text,real
real:905276630486196224_0,severity_mismatch,mild,none,image>text,real
real:905360530591944705_0,severity_mismatch,severe,none,image>text,real
real:905733588095823873_0,severity_mismatch,severe,moderate,image>text,real
real:905830340975058944_0,severity_mismatch,mild,moderate,text>image,real
real:905852980376866816_1,severity_mismatch,mild,none,image>text,real
real:905863374122209281_0,severity_mismatch,none,moderate,text>image,real
real:905883574653652993_0,severity_mismatch,severe,moderate,image>text,real
real:905905349437399041_0,severity_mismatch,severe,none,image>text,real
real:905995342541410304_0,severity_mismatch,severe,moderate,image>text,real
real:906216841684582400_0,severity_mismatch,severe,moderate,image>text,real
real:906744961072291840_2,severity_mismatch,severe,none,image>text,real
real:906833200877629440_0,severity_mismatch,severe,moderate,image>text,real
real:906927330555305984_0,severity_mismatch,severe,none,image>text,real
real:906927887454011394_0,severity_mismatch,none,severe,text>image,real
real:906927969171656705_0,severity_mismatch,mild,moderate,text>image,real
real:906980168463462400_0,severity_mismatch,mild,moderate,text>image,real
real:907041310518935552_1,severity_mismatch,severe,none,image>text,real
real:907252873565757441_1,severity_mismatch,mild,severe,text>image,real
real:907433474025455617_0,severity_mismatch,mild,severe,text>image,real
real:907772978116653056_1,severity_mismatch,mild,none,image>text,real
real:907786118225121280_0,severity_mismatch,mild,none,image>text,real
real:908007709399756801_0,severity_mismatch,mild,none,image>text,real
real:908133197593980928_0,severity_mismatch,severe,moderate,image>text,real
real:908372808564056064_0,severity_mismatch,mild,moderate,text>image,real
real:908497182105460738_0,severity_mismatch,mild,none,image>text,real
real:908566528898895872_0,severity_mismatch,mild,none,image>text,real
real:908566528898895872_3,severity_mismatch,severe,none,image>text,real
real:908709128297644032_0,severity_mismatch,mild,none,image>text,real
real:909128086985338880_0,severity_mismatch,mild,moderate,text>image,real
real:909128086985338880_1,severity_mismatch,severe,moderate,image>text,real
real:909379299874099201_0,severity_mismatch,severe,none,image>text,real
real:909421586893070338_0,severity_mismatch,mild,none,image>text,real
real:909431758822739969_0,severity_mismatch,none,moderate,text>image,real
real:909434397077753861_0,severity_mismatch,mild,moderate,text>image,real
real:909434397077753861_2,severity_mismatch,mild,moderate,text>image,real
real:909441515839266816_1,severity_mismatch,severe,none,image>text,real
real:909458411573710853_0,severity_mismatch,mild,none,image>text,real
real:909474049079889920_0,severity_mismatch,mild,none,image>text,real
real:909718574641614848_0,severity_mismatch,none,severe,text>image,real
real:909751167063801857_0,severity_mismatch,severe,none,image>text,real
real:909769085721956352_0,severity_mismatch,severe,moderate,image>text,real
real:909780778011316224_0,severity_mismatch,severe,none,image>text,real
real:909792262971842560_0,severity_mismatch,severe,none,image>text,real
real:909799422518861824_0,severity_mismatch,severe,moderate,image>text,real
real:909850724137410560_0,severity_mismatch,mild,moderate,text>image,real
real:909864743309017091_0,severity_mismatch,mild,none,image>text,real
real:909879689610743810_0,severity_mismatch,none,moderate,text>image,real
real:909888420905930754_2,severity_mismatch,mild,moderate,text>image,real
real:909904851248799744_0,severity_mismatch,severe,none,image>text,real
real:909912459640700930_1,severity_mismatch,mild,none,image>text,real
real:909915400724516867_0,severity_mismatch,severe,none,image>text,real
real:909936938718760960_0,severity_mismatch,severe,moderate,image>text,real
real:909940586882330624_0,severity_mismatch,severe,none,image>text,real
real:910033969315446784_0,severity_mismatch,mild,none,image>text,real
real:910133417773293568_0,severity_mismatch,severe,none,image>text,real
real:910147498873950208_0,severity_mismatch,mild,none,image>text,real
real:910150747228172288_0,severity_mismatch,mild,moderate,text>image,real
real:910183007637561344_0,severity_mismatch,severe,none,image>text,real
real:910201716934574081_2,severity_mismatch,none,moderate,text>image,real
real:910211172380446720_0,severity_mismatch,severe,moderate,image>text,real
real:910219452481966081_0,severity_mismatch,mild,none,image>text,real
real:910222023263084544_0,severity_mismatch,severe,none,image>text,real
real:910228258146353152_0,severity_mismatch,mild,moderate,text>image,real
real:910247377105297413_0,severity_mismatch,mild,moderate,text>image,real
real:910523398253461504_1,severity_mismatch,mild,none,image>text,real
real:910538720117391360_3,severity_mismatch,mild,moderate,text>image,real
real:910554324320714752_0,severity_mismatch,severe,none,image>text,real
real:910580360777416704_0,severity_mismatch,severe,none,image>text,real
real:910772080907554816_0,severity_mismatch,severe,moderate,image>text,real
real:910803599680327681_0,severity_mismatch,severe,moderate,image>text,real
real:911650692368158721_2,severity_mismatch,severe,moderate,image>text,real
real:911666490734268416_0,severity_mismatch,severe,moderate,image>text,real
