pair_id,tweet_text,image_severity_signal,text_severity_signal,rubric_reason,conflict_type
real:910538720117391360_3,Pics from Facebook page St. Croix Hurricane Maria Check in. Extensive damage #Maria @cnn @weatherchannel @maddow https://t.co/c3pciH5rYH,mild,moderate,moderate_terms=damage;population=0,severity_mismatch
real:918358890302947328_0,Sonoma and Napa Wineries Damaged by California Wildfires: Updated List https://t.co/QjZhtqshU7 https://t.co/onyQongBhn,severe,moderate,"moderate_terms=damaged,damage;population=0",severity_mismatch
real:912092784408002560_0,Los Angeles â€˜buildings will be DEATH BOXES in massive Mexico-style earthquakeâ€™ https://t.co/wFljeS7ghP https://t.co/OpZT6zgxGX,severe,none,no_damage_or_affected_population_signal,severity_mismatch
real:901655097293377536_3,"RT @JMilesKHOU: Rockport, TX damage via @StormVisuals. Feeling for those folks #HurricaneHarvey #khou11 https://t.co/uoOuBEzPl0",severe,moderate,moderate_terms=damage;population=0,severity_mismatch
real:917811151320338433_0,RT @VABVOX: #California is on fire &amp; no one except the people losing everything seem to care. https://t.co/rR87UUrhnd,severe,none,no_damage_or_affected_population_signal,severity_mismatch
real:907634475152007169_0,Houston mayor pushes storm surge 'spine' to protect city https://t.co/4lZWyY6xLF https://t.co/Wi3uqkaUGw,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:910532027107172353_1,RT @UMDCSA: Dominica was hit hard from Hurricane Maria. Please keep them in your thoughts and prayers ὤFἿE἞9἟2 https://t.co/SpKYztnltV,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:930109831595417600_0,Photos show devastation left behind by 7.3 quake near Iran-Iraq border https://t.co/bZNqpup7bV https://t.co/IHeNlB2Kcj,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:904814892095598592_0,"Gov. Abbott adds Bastrop, Lee counties to list of Disaster Declaration after Harvey https://t.co/x6kPFFxt5y https://t.co/PFAHM5GK95",mild,none,no_damage_or_affected_population_signal,resource_mismatch
real:901683922676969472_0,RT @DrHubaEvaluator: Hurricane Harvey: 'People couldn't afford to leave' - BBC News https://t.co/qM6aMcTBBc https://t.co/CLLAEbCbBn,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:905636943630884865_0,RT @LoopJamaica: Barbuda declared uninhabitable following Hurricane Irma https://t.co/YXvW3G5kHv https://t.co/hyaa7gNetH,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:909897343125921792_0,"Hurricanes Harvey, Irma, and Katia drive immigration to the U.S. https://t.co/kTZ2bdwNKe https://t.co/HiV2nwPw65",severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:907680641944342528_0,IRS Gives Tax Relief to Victims of Hurricane Irma https://t.co/laWdggqwCB https://t.co/l9JsTQyjO0,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:906478412281401344_0,After Harvey: Resources to Help You Get Back on Your Feet (4 photos) via Houzz https://t.co/XSUIOIdYlG,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:909824644420694018_0,Treating employees as family and your community as home is the fastest way to recover from c https://t.co/Qbg93DZIwz https://t.co/dh8dbGBEa3,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:905367007092105216_0,Hurricane Harvey to disrupt US auto market https://t.co/GPgxw5hwm5 https://t.co/6mOqa1Gok3,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:909433639540281344_0,Irma's damage a reminder of Florida economy's vulnerability via FOX NEWS https://t.co/fJqf29IHty https://t.co/BF65YSRlUI,severe,moderate,moderate_terms=damage;population=0,resource_mismatch
real:917839142880468994_3,Slideshow: Ten intense photos from the California wildfires &gt;&gt; https://t.co/wkeGc9zSIG https://t.co/SV9pMLbQS2,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:918115021661421568_0,What started California's wildfires? Theories range from arson to downed PG&amp;E power lines https://t.co/cJNa7xnf7a https://t.co/t9NUQXsUi9,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:908424093099347968_0,6 #Houston Nonprofits You Can Help To Make An Immediate Impact After Harvey https://t.co/1l49UKjTiA https://t.co/G4xR8Yz7YV,mild,none,no_damage_or_affected_population_signal,resource_mismatch
real:904330662005669888_0,Sexual Assaults Increase During Natural Disasters. Newsweek Looks Into Why. https://t.co/3LeSEIN6or https://t.co/9yOUWgG9ea #harvey #houston,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:911881820559544320_0,RT @funtimewithdae: This is heartbreaking #hurricanemaria #Dominica https://t.co/BMvf8Rv0X8,mild,none,no_damage_or_affected_population_signal,resource_mismatch
real:910709499660398592_0,How does helping #MexicoQuake victims sound? https://t.co/6vF83o0WYE https://t.co/VCXjCqnQG2,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:908071346013323264_0,Home sales in Houston take 25 percent hit due to Harvey https://t.co/H8XvK5POVj #KSATnews https://t.co/I2ncGdwlOe,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:930136678488043522_0,#Oxfam will assist #Iraq amid recent #earthquake - country director https://t.co/wrKg9ZdGeI https://t.co/TJurcdBHby,severe,none,no_damage_or_affected_population_signal,resource_mismatch
real:909722974218895360_1,RT @focente: 90-100% of #Barbuda's structures &amp; infrastructure are destroyed #Irma ·Ω¢2 https://t.co/aHA2hTASTd,severe,severe,severe_terms=destroyed;population=0,none
real:910194740905353216_0,Westcott House B&amp;B in St. Aug got 8 inches of rain inside from #Irma as they were ALMOST done renovating from… https://t.co/NNVJrTvnQV,none,none,no_damage_or_affected_population_signal,none
real:915992255583854592_0,Mexico City prosecutors open criminal probes into buildings damaged in the deadly earthquake https://t.co/Nnym5nAbSQ https://t.co/HgobOERlP5,severe,severe,severe_terms=dead;population=0,none
real:909470884532047874_0,Fees waived at landfill for Hurricane Irma debris. MORE INFO&gt;&gt;&gt;https://t.co/upYUzw6t6z https://t.co/v6bMqIFi4N,none,none,no_damage_or_affected_population_signal,none
real:905685100901179392_0,RT @nursevictoria11: Deadly Hurricane Irma Leaves Hundreds of Thousands Without Power in Puerto Rico https://t.co/SQFtUHTuvb,severe,severe,severe_terms=dead;population=0,none
real:907307308211982336_0,#hurricane #irma #storm aftermath. Brand new all metal light post snapped in half from #tornado https://t.co/Ewg9NMS7G6,none,none,no_damage_or_affected_population_signal,none
real:910635961134014464_0,Mexico Quake: Moment Buildings Collapse Caught On Camera https://t.co/3mSJvXkNzE https://t.co/iATjy5ZJzx,severe,severe,severe_terms=collapse;population=0,none
real:909883607350513664_0,Caribbean #Luxury #Hotel Owned by Pippa Middleton's In-Laws Devastated by Hurricane Irma https://t.co/TE3BEi17As https://t.co/FzkGYsC4B1,severe,severe,severe_terms=devastated;population=0,none
real:901792272882294786_0,Tree down in NW HIlls#HurricaneHarvey@statesman https://t.co/xlhJSQzqWj,none,none,no_damage_or_affected_population_signal,none
real:905715102258569216_0,Hurricane Irma: 'Get us OUT!' Barbudan hid baby in closet while storm tore ROOF off house https://t.co/l7nZCQkP75 https://t.co/iw10kc9xSc,none,none,no_damage_or_affected_population_signal,none
real:913392166533201920_0,#inhabitat Hurricane Maria ravaged the only tropical rainforest in the United States https://t.co/3YQJ5fDlNS,none,none,no_damage_or_affected_population_signal,none
real:917797763282214913_0,On today's PNS newscast: deadly wildfires ravage Northern California. Listen now: https://t.co/wgmKAIWUiI https://t.co/BApQhkb51r,severe,severe,severe_terms=dead;population=0,none
real:912309406347534336_0,Hurricane Maria destroyed Despacito 's neighborhood! - https://t.co/Bse1zXtgAo https://t.co/eNdTbnsCyX,severe,severe,severe_terms=destroyed;population=0,none
real:907006307433148417_0,"Harvey bashes Texas coast, leaving homes damaged, residents injured &amp; without power https://t.co/PYtAkfXVXf https://t.co/AfvT7Dnw1j",severe,severe,severe_terms=injured;population=0,none
real:905636901306163200_2,Florida has been destroyed by Hurricane Irma... https://t.co/R7bEYDTYDR,severe,severe,severe_terms=destroyed;population=0,none
real:904343320243163137_0,"1st bike since Harvey devastated Houston. Path blocked, water every where, and 1 snake that did not make it. https://t.co/vXy3Iup4Zs",severe,severe,severe_terms=devastated;population=0,none
real:930883171503177728_0,Iran's Rohani: State-built Homes Collapsed in Earthquake Prove Government Corruption https://t.co/DRDWfardm7 https://t.co/PJ0vj8RcPh,severe,severe,"severe_terms=collapsed,collapse;population=0",none
real:906964197053014016_0,RT @DanBillowWESH: Garage speared by 2X8 in Palm Bay tornado. https://t.co/6QEBq1MueG,none,none,no_damage_or_affected_population_signal,none
real:910549146360311808_0,"https://t.co/XVQmbLqPVA Maria Hits San Juan, Island Is 100 Percent Without Electricity https://t.co/7IJ76GRLHq",none,none,no_damage_or_affected_population_signal,none
real:910783579751419904_0,Hurricane Maria Live Updates: Catastrophic Flooding in Puerto Rico https://t.co/Ws9BoIALdc https://t.co/azFOpKPAYe,severe,severe,severe_terms=catastrophic;population=0,none
